gid_union,division,district,upazila,union,division_bn,district_bn,upazila_bn,union_bn,matched_name,method,paurashava_of,key_score,margin,back_check,union_portal,upazila_portal,district_portal,division_portal,union_check,upazila_check,district_check,division_check
BGD.6.3.1.9_1,Rangpur,Kurigram,Bhurungamari,Shilkhuri,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,শিলখুড়ি,Shilkhuri,exact,,1.0,1.0,1.0,shilkhuriup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.7_1,Rangpur,Kurigram,Bhurungamari,PaikerChhara,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,পাইকেরছড়া,Paikarchara,exact,,1.0,1.0,1.0,paikarcharaup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.3_1,Rangpur,Kurigram,Bhurungamari,Bhurungamari,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,ভূরুঙ্গামারী,Bhurungamari,exact,,1.0,1.0,1.0,bhurungamariup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.8_1,Rangpur,Kurigram,Bhurungamari,Pathardubi,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,পাথরডুবি,Pathordubi,exact,,1.0,1.0,1.0,pathordubiup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.2_1,Rangpur,Kurigram,Bhurungamari,Bangasonahat,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,বঙ্গসোনাহাট,Bangasonahat,exact,,1.0,1.0,1.0,bangasonahatup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.5_1,Rangpur,Kurigram,Bhurungamari,CharBhurungamari,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,চর-ভূরুঙ্গামারী,Char-Bhurungamari,exact,,1.0,1.0,1.0,charbhurungamariup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.10_1,Rangpur,Kurigram,Bhurungamari,Tilai,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,তিলাই,Tilai,exact,,1.0,1.0,1.0,tilaiup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.6_1,Rangpur,Kurigram,Bhurungamari,Joymanirhat,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,জয়মনিরহাট,Joymonirhat,exact,,1.0,1.0,0.909,joymonirhatup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.4_1,Rangpur,Kurigram,Bhurungamari,Boldia,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,বলদিয়া,Boldia,exact,,1.0,1.0,1.0,boldiaup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.1.1_1,Rangpur,Kurigram,Bhurungamari,AndhariJhar,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,আন্ধারীরঝাড়,Andharirjhar,exact,,1.0,1.0,1.0,andharirjharup.kurigram.gov.bd,bhurungamari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,portal,verified,verified
BGD.6.3.5.11_1,Rangpur,Kurigram,Nageshwari,Noonkhawa,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,নুনখাওয়া,Noonkhawa,exact,,1.0,1.0,1.0,noonkhawaup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.1_1,Rangpur,Kurigram,Nageshwari,BallabherKhas,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,বল্লভেরখাস,Bollobherkhas,exact,,1.0,1.0,1.0,bollobherkhasup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.9_1,Rangpur,Kurigram,Nageshwari,Narayanpur,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,নারায়নপুর,Narayanpur,exact,,1.0,1.0,1.0,narayanpurup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.2_1,Rangpur,Kurigram,Nageshwari,Bamandanga,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,বামনডাঙ্গা,Bamondanga,exact,,1.0,1.0,1.0,bamondangaup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.3_1,Rangpur,Kurigram,Nageshwari,Berubari,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,বেরুবাড়ী,Berubari,exact,,1.0,1.0,1.0,berubariup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.7_1,Rangpur,Kurigram,Nageshwari,Kaliganj,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,কালীগঞ্জ,Kaligonj,exact,,1.0,1.0,1.0,kaligonjup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.6_1,Rangpur,Kurigram,Nageshwari,Kachakata,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,কঁচাকাঁটা,Kachakata,exact,,1.0,1.0,1.0,kachakataup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.14_1,Rangpur,Kurigram,Nageshwari,Royganj,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,রায়গঞ্জ,Raigonj,exact,,1.0,1.0,1.0,raigonjup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.8_1,Rangpur,Kurigram,Nageshwari,Kedar,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,কেদার,Kedar,exact,,1.0,1.0,1.0,kedarup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.15_1,Rangpur,Kurigram,Nageshwari,Santoshpur,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,সন্তোষপুর,Sontaspur,exact,,1.0,1.0,1.0,sontaspurup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
BGD.6.3.5.4_1,Rangpur,Kurigram,Nageshwari,Bhitarband,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,ভিতরবন্দ,Bhitorbond,exact,,1.0,1.0,1.0,bhitorbondup.kurigram.gov.bd,nageshwari.kurigram.gov.bd,www.kurigram.gov.bd,www.rangpurdiv.gov.bd,verified,verified,verified,verified
