forecast_month,division,district,upazila,union,gid_union,erosion_ha,buildings_osm,accretion_ha,net_land_change_ha,households_est,persons_est,osm_completeness_assumed,osm_buildings_per_km2,osm_measured_km2,osm_mapping,division_bn,district_bn,upazila_bn,union_bn
2025-03,Rangpur,Kurigram,Bhurungamari,Shilkhuri,BGD.6.3.1.9_1,1735.7640297944888,3266,0.0,-1735.7640297944888,3266,14697,1.0,239.32714338566416,24.702588750967944,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,শিলখুড়ি
2025-03,Rangpur,Kurigram,Bhurungamari,PaikerChhara,BGD.6.3.1.7_1,1245.8765061873291,2621,0.0,-1245.8765061873291,2621,11794,1.0,249.6902966991383,23.00850323760229,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,পাইকেরছড়া
2025-03,Rangpur,Kurigram,Bhurungamari,Bhurungamari,BGD.6.3.1.3_1,1276.8624338314019,2571,0.0,-1276.8624338314019,2571,11570,1.0,440.25232641893894,26.78463983579015,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,ভূরুঙ্গামারী
2025-03,Rangpur,Kurigram,Bhurungamari,Pathardubi,BGD.6.3.1.8_1,1274.0759704991506,2253,0.0,-1274.0759704991506,2253,10138,1.0,248.77155109302,28.182482961560446,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,পাথরডুবি
2025-03,Rangpur,Kurigram,Bhurungamari,Bangasonahat,BGD.6.3.1.2_1,738.7124761159097,1592,1.44,-737.2724761159096,1592,7164,1.0,213.34607673009907,22.137740109348233,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,বঙ্গসোনাহাট
2025-03,Rangpur,Kurigram,Bhurungamari,CharBhurungamari,BGD.6.3.1.5_1,686.5016324869788,1095,0.0,-686.5016324869788,1095,4928,1.0,241.32495393671687,19.27276862226043,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,চর-ভূরুঙ্গামারী
2025-03,Rangpur,Kurigram,Bhurungamari,Tilai,BGD.6.3.1.10_1,709.0504534000796,1094,0.0,-709.0504534000796,1094,4923,1.0,239.67959599804698,12.441609756486317,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,তিলাই
2025-03,Rangpur,Kurigram,Nageshwari,Noonkhawa,BGD.6.3.5.11_1,476.1461467269037,404,1.44,-474.7061467269037,404,1818,1.0,155.98263098332322,36.70921540368294,high,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,নুনখাওয়া
2025-03,Rangpur,Kurigram,CharRajibpur,Mohanganj,BGD.6.3.2.3_1,863.3606427267022,373,21.6,-841.7606427267021,373,1678,1.0,142.15202892412447,58.28267146592912,high,রংপুর,কুড়িগ্রাম,চর রাজিবপুর,মোহনগঞ্জ
2025-03,Rangpur,Kurigram,Nageshwari,BallabherKhas,BGD.6.3.5.1_1,383.73295225803366,355,0.0,-383.73295225803366,355,1598,1.0,158.50629212029142,32.781033046036576,high,রংপুর,কুড়িগ্রাম,নাগেশ্বরী,বল্লভেরখাস
2025-03,Rangpur,Kurigram,Bhurungamari,Joymanirhat,BGD.6.3.1.6_1,319.69597500497287,354,0.0,-319.69597500497287,354,1593,1.0,150.16679037703008,16.528288270451398,high,রংপুর,কুড়িগ্রাম,ভূরুঙ্গামারী,জয়মনিরহাট
